Disease,Diet
Panic Disorder,"['Magnesium-rich foods (spinach, pumpkin seeds, almonds)', 'Omega-3 fatty acids (salmon, flaxseeds, walnuts)', 'Complex carbs (oats, quinoa)', 'Green tea (L-theanine)', 'Limit caffeine and sugar']"
Vaginitis,"['Probiotics (yogurt, kefir, sauerkraut)', 'Low-sugar diet (avoid sweets, processed sugar)', 'Garlic (raw or cooked)', 'Cranberry juice (unsweetened)', 'Hydration (water, herbal teas)']"
Problem During Pregnancy,"['Prenatal vitamins (consult doctor)', 'Iron-rich foods (red meat, lentils, spinach)', 'Folate-rich foods (leafy greens, fortified cereals)', 'Calcium and Vitamin D (milk, cheese, fortified plant milk)', 'Avoid raw fish, deli meats, unpasteurized dairy']"
Acute Pancreatitis,"['Low-fat foods (boiled vegetables, lean chicken breast)', 'Small frequent meals', 'Broths and clear liquids (chicken broth, vegetable broth)', 'Avoid alcohol and caffeine', 'Lean proteins (tofu, white fish)']"
Asthma,"['Anti-inflammatory foods (blueberries, kale, turmeric)', 'Magnesium-rich foods (pumpkin seeds, spinach)', 'Omega-3s (wild salmon, chia seeds)', 'Avoid dairy if sensitive', 'Vitamin D-rich foods (egg yolks, fortified milk)']"
Infectious Gastroenteritis,"['Oral rehydration solution (ORS)', 'BRAT diet (bananas, rice, applesauce, toast)', 'Clear soups (chicken soup)', 'Avoid dairy and greasy foods', 'Probiotics (yogurt, kefir)']"
Acute Sinusitis,"['Spicy foods (hot peppers, horseradish)', 'Hydration (water, herbal teas)', 'Vitamin C-rich foods (oranges, strawberries)', 'Warm teas (ginger, chamomile)', 'Avoid processed sugars']"
Cornea Infection,"['Vitamin A-rich foods (carrots, sweet potatoes, spinach)', 'Zinc-rich foods (pumpkin seeds, beef)', 'Hydration (water)', 'Avoid alcohol and smoking', 'Omega-3-rich foods (flaxseed, salmon)']"
Marijuana Abuse,"['Hydration (water, herbal teas)', 'Omega-3s for brain health (walnuts, flaxseeds)', 'Foods rich in B vitamins (eggs, poultry, leafy greens)', 'Antioxidant-rich foods (berries, nuts)', 'Limit processed foods']"
Bursitis,"['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Vitamin C (bell peppers, citrus fruits)', 'Hydration', 'Avoid processed and fried foods']"
Actinic Keratosis,"['Antioxidant-rich foods (berries, spinach, nuts)', 'Vitamin E-rich foods (almonds, sunflower seeds)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Green tea', 'Avoid excessive sun exposure']"
Chronic Obstructive Pulmonary Disease (COPD),"['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (wild salmon, walnuts)', 'High-protein foods (chicken, beans)', 'Vitamin C-rich foods (oranges, broccoli)', 'Hydration']"
Spondylosis,"['Calcium-rich foods (milk, cheese, fortified plant milk)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Anti-inflammatory foods (turmeric, leafy greens)', 'Magnesium sources (nuts, seeds)', 'Omega-3 fatty acids (flaxseeds, fish)']"
Injury to the Arm,"['Protein-rich foods (chicken, eggs, legumes)', 'Vitamin C-rich foods (citrus fruits, strawberries)', 'Zinc sources (beef, pumpkin seeds)', 'Hydration', 'Anti-inflammatory foods (turmeric, ginger)']"
Complex Regional Pain Syndrome,"['Anti-inflammatory foods (turmeric, berries, leafy greens)', 'Omega-3 fatty acids (salmon, walnuts)', 'Magnesium-rich foods (spinach, almonds)', 'Vitamin D-rich foods (fortified milk, egg yolks)', 'Avoid processed sugars and alcohol']"
Injury to the Trunk,"['High-protein foods (tofu, lean meats)', 'Vitamin C-rich foods (bell peppers, kiwi)', 'Zinc sources (shellfish, nuts)', 'Hydration', 'Anti-inflammatory spices (ginger, turmeric)']"
Vulvodynia,"['Anti-inflammatory foods (blueberries, leafy greens)', 'Probiotics (yogurt, kimchi)', 'Omega-3 fatty acids (flaxseeds, salmon)', 'Vitamin E-rich foods (nuts, seeds)', 'Avoid irritants and processed foods']"
Concussion,"['Omega-3 fatty acids (chia seeds, salmon)', 'Antioxidant-rich foods (blueberries, dark chocolate)', 'Protein-rich foods (eggs, chicken)', 'Hydration', 'B vitamins (whole grains, leafy greens)']"
Hypoglycemia,"['Complex carbohydrates (whole grains, legumes)', 'Protein with every meal (eggs, nuts)', 'Avoid sugary snacks', 'Frequent small meals', 'Fiber-rich foods (vegetables, fruits)']"
Hiatal Hernia,"['Small, frequent meals', 'Avoid spicy foods and caffeine', 'High-fiber foods (oats, vegetables)', 'Lean proteins (chicken, fish)', 'Avoid fatty and fried foods']"
Allergy,"['Elimination diet (avoid allergen foods)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Vitamin C-rich foods (oranges, bell peppers)', 'Quercetin-rich foods (apples, onions)', 'Probiotics (yogurt, kefir)']"
Acute Bronchospasm,"['Anti-inflammatory foods (ginger, turmeric)', 'Omega-3 fatty acids (wild salmon, chia seeds)', 'Vitamin C-rich foods (citrus fruits)', 'Hydration', 'Avoid dairy if mucus increases']"
Degenerative Disc Disease,"['Calcium-rich foods (milk, cheese)', 'Vitamin D-rich foods (fatty fish, egg yolk)', 'Anti-inflammatory foods (berries, leafy greens)', 'Magnesium sources (pumpkin seeds, almonds)', 'Protein-rich foods (chicken, legumes)']"
Pain After an Operation,"['High-protein foods (eggs, fish)', 'Vitamin C-rich foods (kiwi, strawberries)', 'Zinc-rich foods (beef, nuts)', 'Anti-inflammatory foods (turmeric, ginger)', 'Hydration']"
Injury to the Leg,"['Protein-rich foods (lean meats, beans)', 'Vitamin C-rich foods (oranges, strawberries)', 'Zinc-rich foods (shellfish, pumpkin seeds)', 'Anti-inflammatory spices (ginger, turmeric)', 'Hydration']"
Gout,"['Low-purine foods (vegetables, whole grains)', 'Cherries and berries', 'Hydration', 'Limit red meat and seafood', 'Avoid alcohol and sugary drinks']"
Otitis Media,"['Hydrating fluids (water, herbal teas)', 'Vitamin C-rich foods (citrus fruits)', 'Probiotics (yogurt, kefir)', 'Avoid dairy if it increases mucus', 'Anti-inflammatory foods (ginger, turmeric)']"
Acute Kidney Injury,"['Low-protein diet (consult doctor)', 'Limit sodium (avoid processed foods)', 'Potassium regulation (bananas, potatoes â€“ based on medical advice)', 'Hydration monitoring', 'Avoid high-phosphorus foods (dairy, nuts)']"
Threatened Pregnancy,"['Folic acid-rich foods (leafy greens, beans)', 'Iron-rich foods (red meat, lentils)', 'Hydration', 'Balanced diet with protein (chicken, fish)', 'Avoid alcohol, caffeine, and high-mercury fish']"
Gum Disease,"['Vitamin C-rich foods (citrus fruits, strawberries)', 'Calcium-rich foods (milk, yogurt)', 'Green tea', 'Avoid sugary and sticky foods', 'Omega-3 fatty acids (walnuts, flaxseeds)']"
Gastrointestinal Hemorrhage,"['Avoid spicy and acidic foods', 'Bland diet (bananas, rice, applesauce)', 'Hydration', 'Iron-rich foods post bleeding (spinach, beans)', 'Avoid alcohol and NSAIDs']"
Anxiety,"['Magnesium-rich foods (nuts, seeds)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Vitamin B-complex foods (whole grains, eggs)', 'Probiotics (kimchi, yogurt)', 'Limit caffeine and sugar']"
Conjunctivitis Due to Allergy,"['Antihistamine-rich foods (quercetin in apples, onions)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Vitamin C-rich foods (citrus)', 'Hydration', 'Avoid allergens']"
Drug Reaction,"['Balanced diet with antioxidants (berries, leafy greens)', 'Hydration', 'Avoid processed and allergenic foods', 'Vitamin C and E-rich foods (nuts, seeds, citrus)', 'Consult doctor for specific restrictions']"
Macular Degeneration,"['Vitamin A-rich foods (carrots, sweet potatoes)', 'Lutein and zeaxanthin foods (spinach, kale)', 'Omega-3 fatty acids (fish, walnuts)', 'Zinc-rich foods (pumpkin seeds, beef)', 'Antioxidant-rich foods (blueberries, citrus)']"
Pneumonia,"['Hydrating fluids (water, herbal teas)', 'Protein-rich foods (chicken, beans)', 'Vitamin C-rich foods (oranges, broccoli)', 'Avoid dairy if mucus worsens', 'Anti-inflammatory foods (turmeric, ginger)']"
Vaginal Cyst,"['Probiotics (yogurt, kefir)', 'Anti-inflammatory foods (berries, leafy greens)', 'Hydration', 'Avoid irritants and processed foods', 'Omega-3 fatty acids (salmon, flaxseeds)']"
Carpal Tunnel Syndrome,"['Anti-inflammatory foods (turmeric, ginger)', 'Omega-3 fatty acids (chia seeds, salmon)', 'Magnesium-rich foods (spinach, almonds)', 'Vitamin B6-rich foods (bananas, poultry)', 'Avoid excess caffeine and sugar']"
Nose Disorder,"['Hydration', 'Vitamin C-rich foods (citrus, strawberries)', 'Zinc-rich foods (meat, seeds)', 'Avoid allergens and irritants', 'Warm fluids and anti-inflammatory foods (ginger, honey)']"
Dental Caries,"['Calcium-rich foods (milk, cheese)', 'Vitamin D-rich foods (fatty fish, fortified cereals)', 'Limit sugary and sticky foods', 'Crunchy fruits and vegetables (apples, carrots)', 'Green tea']"
Hypertensive Heart Disease,"['Low-sodium diet (avoid processed foods)', 'Potassium-rich foods (bananas, sweet potatoes)', 'Omega-3 fatty acids (salmon, walnuts)', 'Whole grains (brown rice, oats)', 'Limit saturated fats (butter, fatty meats)']"
Seasonal Allergies (Hay Fever),"['Quercetin-rich foods (onions, apples)', 'Vitamin C-rich foods (citrus fruits)', 'Omega-3 fatty acids (flaxseeds, fish)', 'Probiotics (yogurt, kimchi)', 'Avoid allergens']"
Fungal Infection of the Hair,"['Antifungal foods (garlic, coconut oil)', 'Probiotics (yogurt, kefir)', 'Vitamin E-rich foods (nuts, seeds)', 'Zinc-rich foods (beef, pumpkin seeds)', 'Avoid sugar and processed foods']"
Rectal Disorder,"['High-fiber foods (whole grains, fruits, vegetables)', 'Hydration', 'Avoid spicy and processed foods', 'Probiotics (yogurt, sauerkraut)', 'Limit caffeine and alcohol']"
Stye,"['Vitamin A-rich foods (carrots, sweet potatoes)', 'Vitamin C-rich foods (citrus)', 'Hydration', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Avoid eye irritants']"
Heart Attack,"['Low-sodium diet (vegetables, fresh fruits)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Whole grains (brown rice, oats)', 'Lean proteins (chicken, beans)', 'Limit saturated and trans fats (processed foods, fried foods)']"
Obstructive Sleep Apnea (OSA),"['Weight management diet (calorie control)', 'Avoid alcohol and sedatives', 'High-fiber foods (whole grains, fruits)', 'Avoid heavy meals before bedtime', 'Hydration']"
Psoriasis,"['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (salmon, walnuts)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Avoid gluten if sensitive', 'Hydration']"
Arthritis of the Hip,"['Anti-inflammatory foods (olive oil, turmeric, berries)', 'Omega-3 fatty acids (fish, flaxseeds)', 'Calcium-rich foods (dairy, leafy greens)', 'Vitamin D-rich foods (fortified milk, egg yolk)', 'Maintain healthy weight diet']"
Sickle Cell Crisis,"['Folate-rich foods (leafy greens, legumes)', 'Hydrating fluids (water, herbal teas)', 'Iron-rich foods (lean meats, beans)', 'Vitamin B6-rich foods (bananas, poultry)', 'Balanced protein intake']"
Otitis Externa (Swimmer's Ear),"['Hydration', 'Avoid irritants and allergens', 'Vitamin C-rich foods (citrus fruits, bell peppers)', 'Anti-inflammatory foods (turmeric, ginger)', 'Probiotics (yogurt, kefir)']"
Acute Bronchiolitis,"['Hydration (water, herbal teas)', 'Vitamin C-rich foods (oranges, strawberries)', 'Protein-rich foods (chicken, beans)', 'Avoid dairy if mucus increases', 'Anti-inflammatory foods (ginger, turmeric)']"
Pyogenic Skin Infection,"['Protein-rich foods (lean meat, eggs)', 'Vitamin C-rich foods (citrus fruits, kiwi)', 'Zinc-rich foods (pumpkin seeds, nuts)', 'Hydration', 'Avoid sugary and processed foods']"
Noninfectious Gastroenteritis,"['Bland diet (bananas, rice, applesauce)', 'Hydration', 'Avoid spicy, fatty, and dairy foods', 'Probiotics (yogurt, kefir)', 'Small frequent meals']"
Benign Prostatic Hyperplasia (BPH),"['Hydration', 'Limit caffeine and alcohol', 'Zinc-rich foods (pumpkin seeds, beef)', 'Tomatoes (lycopene)', 'High-fiber foods (whole grains, fruits, vegetables)']"
Spinal Stenosis,"['Anti-inflammatory foods (berries, leafy greens)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Calcium-rich foods (milk, cheese)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Protein-rich foods (chicken, legumes)']"
Acute Bronchitis,"['Hydration', 'Vitamin C-rich foods (citrus fruits, bell peppers)', 'Avoid dairy if mucus increases', 'Anti-inflammatory foods (ginger, turmeric)', 'Protein-rich foods (chicken, beans)']"
Croup,"['Hydration', 'Humidified air', 'Vitamin C-rich foods (oranges, strawberries)', 'Avoid dairy if mucus worsens', 'Soft, easy to swallow foods (soups, smoothies)']"
Idiopathic Excessive Menstruation,"['Iron-rich foods (spinach, red meat)', 'Vitamin C-rich foods (oranges, bell peppers)', 'Hydration', 'Avoid caffeine and alcohol', 'High-fiber foods (whole grains, fruits)']"
Ear Drum Damage,"['Protein-rich foods (lean meats, eggs)', 'Vitamin C-rich foods (citrus, broccoli)', 'Zinc-rich foods (shellfish, pumpkin seeds)', 'Hydration', 'Avoid irritants']"
Temporary or Benign Blood in Urine,"['Hydration', 'Avoid irritants (spicy foods, caffeine)', 'Balanced diet with fruits and vegetables', 'Limit sodium and processed foods', 'Consult doctor for specific recommendations']"
Common Cold,"['Hydration (water, herbal teas)', 'Vitamin C-rich foods (citrus, kiwi)', 'Zinc-rich foods (nuts, seeds)', 'Chicken soup', 'Avoid dairy if mucus increases']"
Depression,"['Omega-3 fatty acids (salmon, walnuts)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Complex carbs (whole grains, legumes)', 'Folate-rich foods (leafy greens, beans)', 'Limit processed sugars and caffeine']"
Idiopathic Irregular Menstrual Cycle,"['Balanced diet with protein (chicken, beans)', 'Iron-rich foods (spinach, lentils)', 'Vitamin B6-rich foods (bananas, poultry)', 'Hydration', 'Avoid caffeine and high sugar foods']"
Schizophrenia,"['Omega-3 fatty acids (fish, flaxseeds)', 'Complex carbs (whole grains, vegetables)', 'Vitamin B-complex foods (eggs, nuts)', 'Antioxidant-rich foods (berries, citrus)', 'Limit caffeine and processed foods']"
Sepsis,"['High-protein foods (eggs, lean meat)', 'Hydration', 'Vitamin C and zinc-rich foods (citrus fruits, pumpkin seeds)', 'Balanced electrolyte intake', 'Consult doctor for specific nutritional support']"
Cholecystitis,"['Low-fat diet (lean proteins, vegetables)', 'Avoid fried and fatty foods', 'High-fiber foods (whole grains, fruits)', 'Hydration', 'Small frequent meals']"
Cystitis,"['Hydration (water, cranberry juice)', 'Avoid caffeine and alcohol', 'Vitamin C-rich foods (oranges, strawberries)', 'Probiotics (yogurt, kefir)', 'Avoid spicy and acidic foods']"
Hemorrhoids,"['High-fiber foods (whole grains, fruits, vegetables)', 'Hydration', 'Avoid straining and constipation', 'Limit caffeine and alcohol', 'Probiotics (yogurt, kimchi)']"
Contact Dermatitis,"['Avoid allergenic foods', 'Anti-inflammatory foods (turmeric, ginger)', 'Hydrating fluids', 'Vitamin E-rich foods (nuts, seeds)', 'Probiotics (fermented foods)']"
Sinus Bradycardia,"['Balanced diet with adequate electrolytes (potassium from bananas, magnesium from nuts)', 'Hydration', 'Limit caffeine and alcohol', 'Whole grains and lean proteins', 'Consult cardiologist']"
Pelvic Inflammatory Disease,"['Hydration', 'Protein-rich foods (chicken, beans)', 'Vitamin C-rich foods (citrus fruits)', 'Avoid irritants and processed foods', 'Probiotics (yogurt, kefir)']"
Liver Disease,"['Low sodium diet (avoid processed foods)', 'High-protein foods (eggs, lean meats)', 'Vitamin-rich foods (leafy greens, fruits)', 'Avoid alcohol and saturated fats', 'Hydration']"
Chronic Constipation,"['High-fiber foods (whole grains, fruits, vegetables)', 'Hydration', 'Probiotics (yogurt, kimchi)', 'Limit processed and fatty foods', 'Regular meals and physical activity']"
Skin Polyp,"['Balanced diet with antioxidants (berries, leafy greens)', 'Vitamin A-rich foods (carrots, sweet potatoes)', 'Hydration', 'Avoid processed and fried foods', 'Omega-3 fatty acids (fish, flaxseeds)']"
Brachial Neuritis,"['Protein-rich foods (chicken, beans)', 'Anti-inflammatory foods (turmeric, ginger)', 'Omega-3 fatty acids (salmon, walnuts)', 'Vitamin B complex (whole grains, eggs)', 'Hydration']"
Esophagitis,"['Soft, bland diet (bananas, applesauce, oatmeal)', 'Avoid spicy, acidic, and fatty foods', 'Small frequent meals', 'Hydration', 'Avoid caffeine and alcohol']"
Diverticulitis,"['Low-fiber diet during flare-up (white bread, white rice)', 'Hydration', 'Gradual increase to high-fiber diet (fruits, vegetables, whole grains)', 'Avoid nuts and seeds during flare-ups', 'Probiotics']"
Sprain or Strain,"['Protein-rich foods (lean meat, eggs)', 'Anti-inflammatory foods (ginger, turmeric)', 'Vitamin C-rich foods (citrus fruits)', 'Hydration', 'Zinc-rich foods (nuts, seeds)']"
Idiopathic Painful Menstruation,"['Magnesium-rich foods (spinach, dark chocolate)', 'Omega-3 fatty acids (salmon, walnuts)', 'Hydration', 'Avoid salty and processed foods', 'Ginger and turmeric tea']"
Eustachian Tube Dysfunction (Ear Disorder),"['Anti-inflammatory foods (berries, leafy greens)', 'Vitamin C-rich foods (oranges, peppers)', 'Hydration', 'Avoid dairy if congestion worsens', 'Probiotics (yogurt)']"
Appendicitis,"['Post-surgery: soft foods (broths, rice, applesauce)', 'Hydration', 'Avoid high-fat and spicy foods', 'Gradually introduce fiber (vegetables, fruits)', 'Probiotics']"
Hyperemesis Gravidarum,"['Small frequent meals', 'Bland foods (crackers, rice)', 'Ginger tea', 'Vitamin B6-rich foods (bananas, chickpeas)', 'Hydration with electrolytes (ORS, coconut water)']"
Urinary Tract Infection,"['Hydration (water, cranberry juice)', 'Avoid caffeine, alcohol, and spicy foods', 'Vitamin C-rich foods (citrus, bell peppers)', 'Probiotics (yogurt, kefir)', 'Fiber-rich foods']"
Peripheral Nerve Disorder,"['Vitamin B-rich foods (whole grains, eggs, leafy greens)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Anti-inflammatory foods (turmeric, berries)', 'Hydration']"
Sebaceous Cyst,"['Anti-inflammatory foods (ginger, turmeric, leafy greens)', 'Zinc-rich foods (pumpkin seeds, nuts)', 'Vitamin A-rich foods (carrots, sweet potatoes)', 'Hydration']"
Spontaneous Abortion,"['Iron-rich foods (red meat, spinach)', 'Vitamin C (citrus, strawberries)', 'Folate-rich foods (legumes, dark leafy greens)', 'Hydration', 'Comforting herbal teas']"
Gallstone,"['Low-fat diet (steamed vegetables, lean meats)', 'High-fiber foods (whole grains, apples)', 'Avoid fried foods and refined carbs', 'Hydration', 'Small frequent meals']"
Multiple Sclerosis,"['Omega-3 fatty acids (flaxseeds, salmon)', 'Vitamin D-rich foods (eggs, fortified milk)', 'Antioxidant-rich foods (berries, spinach)', 'Limit saturated fats', 'Probiotics']"
Angina,"['Heart-healthy diet (oats, olive oil, fish)', 'Omega-3 fatty acids (salmon, flaxseed)', 'Low-sodium foods', 'Fruits and vegetables', 'Avoid trans fats and red meat']"
Skin Pigmentation Disorder,"['Vitamin C-rich foods (oranges, bell peppers)', 'Vitamin E-rich foods (almonds, sunflower seeds)', 'Beta-carotene (carrots, sweet potatoes)', 'Hydration', 'Green tea']"
Personality Disorder,"['Balanced diet', 'Omega-3 fatty acids (walnuts, flaxseed)', 'Vitamin B-complex (eggs, legumes)', 'Magnesium-rich foods (dark chocolate, spinach)', 'Avoid sugar and processed foods']"
Strep Throat,"['Soft foods (soups, mashed potatoes)', 'Warm teas (ginger, chamomile)', 'Hydration', 'Avoid acidic or spicy foods', 'Vitamin C-rich foods (oranges, strawberries)']"
Developmental Disability,"['Balanced, nutrient-dense diet', 'Omega-3 fatty acids (fish, flaxseeds)', 'B vitamins (whole grains, meat)', 'Fiber-rich foods', 'Limit sugar and artificial additives']"
Chronic Back Pain,"['Anti-inflammatory foods (berries, turmeric)', 'Calcium and Vitamin D (milk, cheese, eggs)', 'Magnesium-rich foods (nuts, leafy greens)', 'Omega-3s (salmon)']"
Heart Failure,"['Low-sodium diet', 'Fluid monitoring', 'Potassium-rich foods (bananas, sweet potatoes)', 'Omega-3 fatty acids (fish)', 'Avoid red meat and saturated fats']"
Conjunctivitis,"['Vitamin A-rich foods (carrots, spinach)', 'Zinc-rich foods (pumpkin seeds)', 'Hydration', 'Probiotics (yogurt)', 'Avoid dairy if allergic']"
Herniated Disk,"['Anti-inflammatory diet (ginger, leafy greens)', 'Omega-3 fatty acids (fish, flaxseed)', 'Vitamin D and calcium (fortified foods, milk)', 'Hydration']"
Diaper Rash,"['Breastfeeding (for infants)', 'For older babies: Avoid acidic foods (tomatoes, citrus)', 'Probiotics (yogurt)', 'Zinc-rich foods (eggs, meat)', 'Hydration']"
Eczema,"['Anti-inflammatory foods (turmeric, blueberries)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Avoid allergenic foods (dairy, gluten)', 'Probiotics', 'Vitamin D (eggs, mushrooms)']"
